14.2053 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
27.6762 	INFO 	Loaded monitor calibration from ['2024_06_21 14:59']
27.6821 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1352, 878]. Using actual size
27.8353 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b730>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b6d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b520>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x16a234cd0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(338.0), np.float64(219.5)], screen=0, size=array([2704, 1756]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
27.8354 	EXP 	window1: backgroundImage = ''
27.8354 	EXP 	window1: backgroundFit = 'none'
27.8355 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8356 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8374 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8377 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8618 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8619 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8622 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8626 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x16a37b850>
27.8726 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
27.8726 	EXP 	window1: recordFrameIntervals = False
27.9986 	EXP 	window1: recordFrameIntervals = True
28.0388 	WARNING 	t of last frame was 21.71ms (=1/46)
28.1222 	WARNING 	t of last frame was 21.52ms (=1/46)
28.9728 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

28.9743 	EXP 	window1: mouseVisible = False
31.7835 	INFO 	keyboard.Keyboard is using iohub backend.
31.7835 	EXP 	untitled: status = STARTED
31.7838 	EXP 	window1: mouseVisible = False
31.8091 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
31.8143 	EXP 	window1: mouseVisible = False
31.8155 	EXP 	window1: mouseVisible = False
31.8169 	EXP 	window1: mouseVisible = False
31.8201 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
31.8202 	EXP 	window1: mouseVisible = False
31.8219 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
31.8231 	EXP 	window1: mouseVisible = False
