14.4473 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
235.5687 	INFO 	Loaded monitor calibration from ['2024_06_21 14:59']
235.5746 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1352, 878]. Using actual size
235.7288 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f760>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f700>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f550>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x159d28d00>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(338.0), np.float64(219.5)], screen=0, size=array([2704, 1756]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
235.7288 	EXP 	window1: backgroundImage = ''
235.7288 	EXP 	window1: backgroundFit = 'none'
235.7290 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7291 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7309 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7313 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7550 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7551 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7555 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7558 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x159f7f880>
235.7658 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
235.7658 	EXP 	window1: recordFrameIntervals = False
235.8876 	EXP 	window1: recordFrameIntervals = True
236.0446 	WARNING 	t of last frame was 21.63ms (=1/46)
236.8327 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

236.8338 	EXP 	window1: mouseVisible = False
239.8512 	INFO 	keyboard.Keyboard is using iohub backend.
239.8512 	EXP 	untitled: status = STARTED
239.8515 	EXP 	window1: mouseVisible = False
239.8778 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
239.8830 	EXP 	window1: mouseVisible = False
239.8842 	EXP 	window1: mouseVisible = False
239.8856 	EXP 	window1: mouseVisible = False
239.8887 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
239.8888 	EXP 	window1: mouseVisible = False
239.8905 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
239.8916 	EXP 	window1: mouseVisible = False
239.8926 	EXP 	window1: mouseVisible = False
239.8935 	EXP 	window1: mouseVisible = False
239.8966 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
239.8967 	EXP 	window1: mouseVisible = False
239.8983 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
239.8994 	EXP 	window1: mouseVisible = False
239.9004 	EXP 	window1: mouseVisible = False
239.9011 	EXP 	window1: mouseVisible = False
239.9043 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
239.9044 	EXP 	window1: mouseVisible = False
239.9060 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
239.9071 	EXP 	window1: mouseVisible = False
239.9080 	EXP 	window1: mouseVisible = False
239.9087 	EXP 	window1: mouseVisible = False
239.9118 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: contrast = 1.0
0.0087 	EXP 	slider: markerPos = None
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: contrast = 1.0
0.0087 	EXP 	slider: markerPos = None
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: contrast = 1.0
0.0087 	EXP 	slider: markerPos = None
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: autoLog = True
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = []
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0087 	EXP 	slider: contrast = 1.0
0.0087 	EXP 	slider: markerPos = None
0.0087 	EXP 	slider: autoLog = True
0.0091 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0174 	EXP 	slider: markerPos = None
0.0174 	EXP 	slider: markerPos = None
0.0174 	EXP 	text: autoDraw = True
0.0174 	EXP 	slider: autoDraw = True
1.0127 	EXP 	text: autoDraw = False
2.1669 	WARNING 	t of last frame was 20.16ms (=1/49)
2.5407 	DATA 	Mouse: wheel shift=(0,0), pos=(1156,430)
2.5776 	DATA 	Mouse: Right button down, pos=(1156,430)
2.5976 	DATA 	Mouse: wheel shift=(0,0), pos=(1156,430)
3.0462 	DATA 	Mouse:  Right button up, pos=(968,409)
3.1836 	WARNING 	t of last frame was 20.27ms (=1/49)
3.2231 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2237 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2255 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2470 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2680 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2720 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2848 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.2887 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3055 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3094 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3223 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3257 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3429 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3595 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3794 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.3977 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4186 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4220 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4351 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4392 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4559 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4594 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4728 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4769 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.4936 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5108 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5304 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5384 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5548 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5761 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.5930 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6131 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6299 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6501 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6680 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6717 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6888 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.6931 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.7123 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.7271 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.7440 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.7635 	DATA 	Mouse: wheel shift=(0,0), pos=(988,448)
3.9720 	DATA 	Mouse: wheel shift=(0,0), pos=(984,442)
4.0062 	DATA 	Mouse: Right button down, pos=(984,442)
4.0066 	DATA 	Mouse: wheel shift=(0,0), pos=(984,442)
4.5469 	DATA 	Mouse: wheel shift=(0,0), pos=(1114,465)
4.5473 	DATA 	Mouse: wheel shift=(0,0), pos=(1114,465)
4.6666 	WARNING 	t of last frame was 20.74ms (=1/48)
4.7134 	DATA 	Mouse:  Right button up, pos=(886,429)
5.1152 	DATA 	Mouse: Right button down, pos=(845,426)
5.5840 	DATA 	Mouse:  Right button up, pos=(1266,428)
5.7439 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7445 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7673 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7715 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7871 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7877 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8037 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8116 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8251 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8421 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8628 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9045 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9226 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9384 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9753 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9936 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0137 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0213 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0380 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0502 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0668 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
